Date/Time,Word Count,ab,de,en,es,fr,it,ja,ko,pl,pt-BR,ru,tr,uk,zh,zh-Hans
2019.09.26-19.40.43,206,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019.09.26-19.52.57,206,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019.09.26-19.58.01,201,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019.09.26-20.06.58,201,145,0,145,0,0,0,0,0,0,0,0,0,0,0,0
2019.09.26-20.41.17,201,145,0,145,0,0,0,145,0,0,0,0,0,0,0,145
2019.09.26-20.44.19,201,145,145,145,0,145,145,145,145,145,0,0,0,0,0,145
2019.09.26-20.46.52,201,145,145,145,145,145,145,145,145,145,145,145,145,145,0,145
2019.09.27-12.29.21,202,146,145,145,145,145,145,145,145,145,145,145,145,145,0,145
2019.09.27-12.36.22,202,146,145,146,146,146,146,146,146,146,146,146,146,146,0,146
